Question,Response
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000006
division jf02
magasin ap01
cliquez sur excut
notez les deux lot que vous utiliserez pour les prochaines tapes
si les lots ne sont pas accessible, merci de le reporter la team
. rsultats attendus stock affich avec diffrents lots affichs avec succs"
cration manuel de lordre de process de blending,"application fiori app cration dun ordre de process . donnes dentre et instructions 1. entrez les donnes suivantes 
 article 30000006
 division de production jf02
 type dordre zpob
2. cliquez sur suite
3. entrez les donnes suivantes 
 qt totale 1000
 date dbut date actuelle
 date fin date actuelle
4. allez la vue donn.base, et vrifiez si la version de fabrication est b001, puis continuez
5. cliquez sur validerlancer en haut
un message sur le calcul de cut , cliquez sur oui et lordre de process va tre cre, notez le numro de lordre de process. rsultats attendus 1.ordre de process blending cre 100xxxx"
confirmation manuel de la production et sortie de marchandises,"application app 
confirmation dune phase dordre de process. donnes dentre et instructions titre dentte saisir le relev dheures pour lordre de process
1. entrez les donnes sur les champs 
2. ordre de process 1000xxx
3. phase 0020 et puis appuyez sur entrer.
4. dans lcran suivant entrez les donnes suivantes 
5.rendement entrer une quantit partielle de lordre de process
6. dtails des activits
7. equipe 1
8. date enregistrement date de lxecution du script
9. text confirmation optional
10. motif cart optional
11. une fois tous les drtails entrs, cliquez sur le button en haut mouvements de stocks.
12.slectionnez la ligne de lartcile et cliquez sur le button fract.
dans lcran suivant entrez la quantit fractionne 500 la moiti de la quantitdu rendement par exemple et cliquez sur reprendre
cette action va crer 2 lignes pour la cnnsommation de larticle mlanger avec deux diffrent lots
13. entrez le lot appropi lot 1 et 2
14.puis cliquez sur enregistrer . rsultats attendus confirmation confime avec succs"
confirmation de rception de marchandises,"application fiori app enregistrer mouvement de stock. donnes dentre et instructions header title goods receipt order uset name
1. selectionnez entr de marchandises 
2. sur 2eme liste droulante selectionnez ordre
3.entrez dordre de process et appuyez sur entrer
4. larticle pour entr de marchandises saffiche, modifiez la date document la date actuelle 
5.les dtails sur la rception sont affichs
6. mettez jour quantit division, magasin, lot soit en enregistre lentr sur un lot existant, soit un nouveau lot sera cre automatiquement 
7. puis cliquez sur post ok 
8.cliquez sur le button vrifier, pour vrifier les information entres, et not le numro du troisime lot gnr pour les tapes suivantes
9. puis cliquez sur le button enregistrer. rsultats attendus entr de marchandises effectu avec succs
lot cre"
saisie des rsultats de contrle pour la rception,"application fiori app saisie des rsultats de contrle rserve de travail hirarchique. donnes dentre et instructions titre dentte rserve de travail saisie rsultats
1. entrez les donnes suivantes
2. division jf02
3. lot dorigine 04, entrez numro de lot 0000000xxx et cliquez sur executer.
4. dans le panneau gauche, ouvrir le noeud corrspondant au lot de contrle et ordre de process.
5. cliquez sur le noeud au niveau de lopration et cliquez sur le noeud de lchantillon pour afficher les caractritiques de contrle
6. pour les caractristiques marques avec la moyenne pondr, les rsultats sont calculs automatiquement
7. pour le reste des caractristiques, ils proviennent de lims vrifier les valeurs, ou entrer les valeurs manuellement.
9. selectionnez les caractrisitques et cliquez sur clture
10. cliquez sur la checkbox accepter et cliquez sur le button suite
11. rptez la mme chose pour les autres caractristiques et enregistrer. rsultats attendus les rsultats de contrle pour lentr de marchandises est enregistr avec succs"
"confirmez dcision dutilisation pour la gr de lodre de process
04 inspection type","application fiori app traiter les lots de contrle rserve de travail. donnes dentre et instructions titre dentte slection des lots de contrle
1. entrez les donnes suivantes
 lot cre le date of script execution
 division jf02
 article 30000006
 origine lot de ctrl 04
 lot 0000000xxx gnr lors de ltape 4
2. cliquez sur executer
3. 1. selectionnez le lot de contrle li lordre de process et cliquez sur dcision dutilisation
3. 2. cliquez sur highlighted in screenshot, ct de caractristiques appropries pour d.u.
3. 3. allez la section dcision dutilisation
4. dans le champ code du
5. selectionnez le code de dcision dutilisation appropri.
6. cliquez sur la vue stock de lot de contrle
7. cliquez sur le button proposal
8. cliquez enregistrer .. rsultats attendus 	
 dcision dutilisation enregistrer"
afficher synthse des stocks,"application fiori app afficher synthse des stocks. donnes dentre et instructions entrer les informations suivantes 
numro darticle 30000006
division jf02
magasin ap01
cliquez sur excut. rsultats attendus stock affich pour le lot 3"
cost analysisvariance analysis report of process order,"application fiori app display process order. donnes dentre et instructions entrez 
1.le numro de lordre de process 100xxxx et appuyez sur entrer
2. follow steps plus saut cots analyse cliquez sur le button en haut slectionner mise en forme et appuyer sur entrer. rsultats attendus 1. the costvariance report will be display for process order.
00000100xxxx"
complter techniquement la production standard,"application fiori app modification dun ordre de process. donnes dentre et instructions 1. entrez les donnes suivantes
 ordre de process 1000xxxx
2. appuyer sur entrer
3. selectionnez plus ordre de process fonctions limiter le traitement clture technique
4. cliquez sur sauvegarder. rsultats attendus clture technique de lordre de process. status teco"
crer une livraison en rfrence une commande client,"application application fiori  modifier livraison sortante. donnes dentre et instructions entte modifier livraison sortante
1.sur lcran initial, saisissez livraison sortante 8000xxxx,et appuyez sur suite
2. dans lcran suivant, allez au tableau tous les postes, larticle et la division dvsn seront affichs.
3. slctionnez la ligne du poste que vous dsirez fractionner en diffrents lots et cliquer sur le bouton en dessous fractionn. lot, un nouveau tableau saffiche o vous ajoutez les numros des lots mlanger, avec le magasin, qt. 
4. cliquez sur le bouton de retour puis allez longlet donnes mouvement de stock et entrez date relle de sortie des marchandisesmvt. stock rel, puis appuyez sur entre puis sauvegarder. le message affichera livraison 8000xxxx sauvegard. rsultats attendus livraison modifie avec succs"
